"A1","DELTA1","C1","RELEASE","P3_TYPE"
"Date Range","dDateRangeFixedDateUtil","Patterns","v3","field"
"Date Range","dDateRangeGUI","ReminderActivity","v3","field"
"Date Range","dDateRangeGUI","ReminderActivity","v3","method"
"Date Range","dDateRangeGUI","ReminderArrayAdapter","v3","method"
"Date Range","dDateRangeGUI","ReminderAddActivity","v3","field"
"Date Range","dDateRangeModel","Reminder","v3","import"
"Date Range","dDateRangeModel","Reminder","v3","method"
"Date Range","dDateRangeModel","Reminder","v3","field"
"Date Range","dDateRangeModel","DBConstants","v3","field"
"Date Range","dDateRangeModel","ReminderContentProvider","v3","method"
"Fixed Date","dFixedDateGUI","ReminderListFragment","v3","import"
"Fixed Date","dFixedDateGUI","ReminderActivity","v3","field"
"Fixed Date","dFixedDateGUI","ReminderActivity","v3","method"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v3","field"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v3","method"
"Fixed Date","dFixedDateGUI","ReminderAddActivity","v3","field"
"Fixed Date","dFixedDateModel","Reminder","v3","import"
"Fixed Date","dFixedDateModel","Reminder","v3","method"
"Fixed Date","dFixedDateModel","Reminder","v3","field"
"Fixed Date","dFixedDateModel","DBConstants","v3","field"
"Fixed Date","dFixedDateModel","ReminderContentProvider","v3","method"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v3","field"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v3","import"
"Manage Category","dManageCategoryController","Controller","v3","method"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v3","field"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v3","method"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v3","method"
"Priority","dPriorityGUI","EditReminderActivity","v3","import"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v3","import"
"Priority","dPriorityGUI","ReminderArrayAdapter","v3","import"
"Priority","dPriorityGUI","ReminderActivity","v3","import"
"Priority","dPriorityGUI","ReminderActivity","v3","method"
"Priority","dPriorityGUI","ReminderActivity","v3","field"
"Priority","dPriorityGUI","ReminderAddActivity","v3","import"
"Priority","dPriorityGUI","ReminderAddActivity","v3","method"
"Priority","dPriorityGUI","ReminderAddActivity","v3","field"
"Priority","dPriorityModel","DBConstants","v3","field"
"Priority","dPriorityModel","DefaultReminderDAO","v3","import"
"Priority","dPriorityModel","Reminder","v3","field"
"Priority","dPriorityModel","Reminder","v3","method"
"Priority","dPriorityReminder","ReminderMainActivity","v3","import"
"Search","dSearchController","ReminderFilter","v3","method"
"Search","dSearchGUI","ReminderListFragment","v3","method"
"Search","dSearchReminder","ReminderMainActivity","v3","import"
"Search","dSearchReminder","ReminderMainActivity","v3","method"
"Search","dSearchReminder","ReminderMainActivity","v3","field"
"Static Category","dStaticCategoryController","Controller","v3","import"
"Static Category","dStaticCategoryController","Controller","v3","method"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v3","import"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v3","method"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v3","import"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v3","method"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v3","import"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v3","method"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v3","field"
"Static Category","dStaticCategoryGUI","ReminderActivity","v3","import"
"Static Category","dStaticCategoryGUI","ReminderActivity","v3","method"
"Static Category","dStaticCategoryGUI","ReminderActivity","v3","field"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","import"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","method"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","field"
"Static Category","dStaticCategoryPersistence","GenericDAO","v3","import"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v3","import"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v3","field"
"Static Category","dStaticCategoryModel","DBFactory","v3","method"
